_CustomObjectKey,ID,HC_CustomerToBeDeleted_Flg__c
118566,a0i6g000005RBVWAA4,false
118567,a0i6g000005RBb8AAG,false
118568,a0i6g000005RBctAAG,false
118569,a0i6g000005RBdCAAW,false
118570,a0i6g000005RBpEAAW,false
118571,a0i6g000005RBwhAAG,false
118572,a0i6g000005RBzzAAG,false
118573,a0i6g000005RCXEAA4,false
118574,a0i6g000005RCjrAAG,false
118575,a0i6g000005RCk6AAG,false
118576,a0i6g000005RCkdAAG,false
118577,a0i6g000005RCldAAG,false
118578,a0i6g000005RCliAAG,false
118579,a0i6g000005RCllAAG,false
118580,a0i6g000005RClsAAG,false
118581,a0i6g000005RCluAAG,false
118582,a0i6g000005RClwAAG,false
118583,a0i6g000005RCm3AAG,false
118584,a0i6g000005RCm4AAG,false
118585,a0i6g000005RCmBAAW,false
118586,a0i6g000005RCmFAAW,false
118587,a0i6g000005RCmKAAW,false
118588,a0i6g000005RCmLAAW,false
118589,a0i6g000005RCmSAAW,false
118590,a0i6g000005RCmTAAW,false
118591,a0i6g000005RCmYAAW,false
118592,a0i6g000005RCmcAAG,false
118593,a0i6g000005RCmdAAG,false
118594,a0i6g000005RCmeAAG,false
118595,a0i6g000005RCmqAAG,false
118596,a0i6g000005RCmuAAG,false
118597,a0i6g000005RCn1AAG,false
118598,a0i6g000005RCn4AAG,false
118599,a0i6g000005RCn7AAG,false
118600,a0i6g000005RCn9AAG,false
118601,a0i6g000005RCnAAAW,false
118602,a0i6g000005R9gdAAC,false
118603,a0i6g000005R9lcAAC,false
118604,a0i6g000005R9quAAC,false
118605,a0i6g000005R9wHAAS,false
118606,a0i6g000005R9xiAAC,false
118607,a0i6g000005RA1uAAG,false
118608,a0i6g000005RA4YAAW,false
118609,a0i6g000005RALhAAO,false
118610,a0i6g000005RAQyAAO,false
118611,a0i6g000005RAjKAAW,false
118612,a0i6g000005RArCAAW,false
118613,a0i6g000005RB20AAG,false
118614,a0i6g000005RB5JAAW,false
118615,a0i6g000005RB63AAG,false
118616,a0i6g000005RBCCAA4,false
118617,a0i6g000005RBQbAAO,false
118618,a0i6g000005RBUSAA4,false
118619,a0i6g000005RBauAAG,false
118620,a0i6g000005RBc0AAG,false
118621,a0i6g000005RBdcAAG,false
118622,a0i6g000005RBvCAAW,false
118623,a0i6g000005RBzbAAG,false
118624,a0i6g000005RCkCAAW,false
118625,a0i6g000005RCkNAAW,false
118626,a0i6g000005RCkRAAW,false
118627,a0i6g000005RClbAAG,false
118628,a0i6g000005RClfAAG,false
118629,a0i6g000005RCljAAG,false
118630,a0i6g000005RClkAAG,false
118631,a0i6g000005RClpAAG,false
118632,a0i6g000005RClzAAG,false
118633,a0i6g000005RCm5AAG,false
118634,a0i6g000005RCm6AAG,false
118635,a0i6g000005RCmDAAW,false
118636,a0i6g000005RCmEAAW,false
118637,a0i6g000005RCmPAAW,false
118638,a0i6g000005RCmUAAW,false
118639,a0i6g000005RCmiAAG,false
118640,a0i6g000005RCmkAAG,false
118641,a0i6g000005RCmoAAG,false
118642,a0i6g000005RCmxAAG,false
118643,a0i6g000005RCmzAAG,false
118644,a0i6g000005RCn5AAG,false
118645,a0i6g000005RCnGAAW,false
118646,a0i6g000005RCnNAAW,false
118647,a0i6g000005RCpLAAW,false
118648,a0i6g000005RCpOAAW,false
118649,a0i6g000005REQSAA4,false
118650,a0i6g000005REeIAAW,false
118651,a0i6g000005REkrAAG,false
118652,a0i6g000005REyaAAG,false
118653,a0i6g000005RF0OAAW,false
118654,a0i6g000005RF0SAAW,false
118655,a0i6g000005RF0gAAG,false
118656,a0i6g000005RF1IAAW,false
118657,a0i6g000005RF4zAAG,false
118658,a0i6g000005RFCnAAO,false
118659,a0i6g000005RFHOAA4,false
118660,a0i6g000005RFIwAAO,false
118661,a0i6g000005RFIyAAO,false
118662,a0i6g000005RFJ0AAO,false
118663,a0i6g000005RFQUAA4,false
118664,a0i6g000005RFSMAA4,false
118665,a0i6g000005RFSNAA4,false
118666,a0i6g000005RFSPAA4,false
118667,a0i6g000005RFTXAA4,false
118668,a0i6g000005RFTeAAO,false
118669,a0i6g000005RFTmAAO,false
118670,a0i6g000005RFTvAAO,false
118671,a0i6g000005RFUJAA4,false
118672,a0i6g000005RFUcAAO,false
118673,a0i6g000005RFUlAAO,false
118674,a0i6g000005RFUpAAO,false
118675,a0i6g000005RFVAAA4,false
118676,a0i6g000005RFVFAA4,false
118677,a0i6g000005RFVIAA4,false
118678,a0i6g000005RFa8AAG,false
118679,a0i6g000005RFbHAAW,false
118680,a0i6g000005RFciAAG,false
118681,a0i6g000005RFeEAAW,false
118682,a0i6g000005RFssAAG,false
118683,a0i6g000005RG5sAAG,false
118684,a0i6g000005RG9CAAW,false
118685,a0i6g000005RG9UAAW,false
118686,a0i6g000005RG9iAAG,false
118687,a0i6g000005RG9kAAG,false
118688,a0i6g000005RGIVAA4,false
118689,a0i6g000005RGQsAAO,false
118690,a0i6g000005RGQwAAO,false
118691,a0i6g000005RGR5AAO,false
118692,a0i6g000005RGXSAA4,false
118693,a0i6g000005RGbPAAW,false
118694,a0i6g000005RGdHAAW,false
118695,a0i6g000005RGdsAAG,false
118696,a0i6g000005RGlLAAW,false
