_CustomObjectKey,STATUS,ID_TITULO,ID_PLANO,ID_SERIE
15585329,A,82536,"PM60G ",AA
15585330,A,82537,"PM60E ",AA
15585331,A,82539,"PM60F ",AA
15585332,A,82541,"PM60E ",AA
15585333,A,82542,"PM60E ",AA
15585334,A,82785,"PM60C ",AA
15585335,A,82786,"PM60C ",AA
15585336,A,82795,"PM60C ",AA
15585337,A,82796,"PM60C ",AA
15585338,A,82799,"PM60E ",AA
15585339,A,82804,"PM60C ",AA
15585340,A,82805,"PM60C ",AA
15585341,A,82810,"PM60C ",AA
15585342,A,82815,"PM60C ",AA
15585343,A,49227,"PM60E ",AA
15585344,A,49228,"PM60F ",AA
15585345,A,49230,"PM60E ",AA
15585346,A,49233,"PM60F ",AA
15585347,A,49234,"PM60E ",AA
15585348,A,49236,"PM60E ",AA
15585349,A,49237,"PM60E ",AA
15585350,A,49518,"PM60D ",AA
15585351,A,49527,"PM60D ",AA
15585352,A,49530,"PM60C ",AA
15585353,A,49537,"PM60C ",AA
15585354,A,49941,"PM60C ",AA
15585355,A,49949,"PM60C ",AA
15585356,A,49950,"PM60C ",AA
15585357,A,49951,"PM60C ",AA
15585358,A,49952,"PM60C ",AA
15585359,A,49956,"PM60C ",AA
15585360,A,49957,"PM60C ",AA
15585361,A,50332,"PM60C ",AA
15585362,A,50333,"PM60C ",AA
15585363,A,50334,"PM60C ",AA
15585364,A,50335,"PM60C ",AA
15585365,A,50340,"PM60C ",AA
15585366,A,50341,"PM60C ",AA
15585367,A,50344,"PM60C ",AA
15585368,A,50345,"PM60C ",AA
15585369,A,50346,"PM60C ",AA
15585370,A,50347,"PM60C ",AA
15585371,A,50348,"PM60C ",AA
15585372,A,50351,"PM60C ",AA
15585373,A,50357,"PM60C ",AA
15585374,A,50359,"PM60C ",AA
15585375,A,50366,"PM60C ",AA
15585376,A,50370,"PM60C ",AA
15585377,A,50371,"PM60C ",AA
15585378,A,50864,"PM60C ",AA
15585379,A,50865,"PM60C ",AA
15585380,A,50870,"PM60E ",AA
15585381,A,50871,"PM60E ",AA
15585382,A,50874,"PM60C ",AA
15585383,A,50875,"PM60C ",AA
15585384,A,50878,"PM60C ",AA
15585385,A,50880,"PM60C ",AA
15585386,A,50881,"PM60C ",AA
15585387,A,50885,"PM60C ",AA
15585388,A,50888,"PM60C ",AA
15585389,A,50891,"PM60C ",AA
15585390,A,50894,"PM60C ",AA
15585391,A,50896,"PM60C ",AA
15585392,A,50899,"PM60C ",AA
15585393,A,51397,"PM60C ",AA
15585394,A,51398,"PM60C ",AA
15585395,A,51400,"PM60C ",AA
15585396,A,77650,"PM60E ",AA
15585397,A,77655,"PM60E ",AA
15585398,A,77660,"PM60F ",AA
15585399,A,77664,"PM60E ",AA
15585400,A,77665,"PM60E ",AA
15585401,A,77667,"PM60E ",AA
15585402,A,77668,"PM60E ",AA
15585403,A,77669,"PM60E ",AA
15585404,A,77670,"PM60E ",AA
15585405,A,77671,"PM60E ",AA
15585406,A,77672,"PM60E ",AA
15585407,A,77673,"PM60E ",AA
15585408,A,77674,"PM60E ",AA
15585409,A,77675,"PM60E ",AA
15585410,A,77677,"PM60E ",AA
15585411,A,77938,"PM60C ",AA
15585412,A,77941,"PM60C ",AA
15585413,A,77943,"PM60C ",AA
15585414,A,77944,"PM60C ",AA
15585415,A,77945,"PM60C ",AA
15585416,A,77946,"PM60C ",AA
15585417,A,77947,"PM60C ",AA
15585418,A,77948,"PM60C ",AA
15585419,A,77951,"PM60D ",AA
15585420,A,77962,"PM60C ",AA
15585421,A,78194,"PM60C ",AA
15585422,A,78199,"PM60C ",AA
15585423,A,78200,"PM60C ",AA
15585424,A,78201,"PM60C ",AA
15585425,A,78203,"PM60C ",AA
15585426,A,78205,"PM60C ",AA
15585427,A,78209,"PM60C ",AA
15585428,A,78472,"PM60C ",AA
15585429,A,46263,"48PMA ",AA
15585430,A,78476,"PM60C ",AA
15585431,A,78480,"PM60C ",AA
15585432,A,78485,"PM60C ",AA
15585433,A,78486,"PM60C ",AA
15585434,A,82876,"PM60C ",AA
15585435,A,82885,"PM60D ",AA
15585436,A,82892,"PM60C ",AA
15585437,A,83124,"PM60D ",AA
15585438,A,83125,"PM60C ",AA
15585439,A,83126,"PM60C ",AA
15585440,A,83127,"PM60G ",AA
15585441,A,83134,"PM60C ",AA
15585442,A,49243,"PM60C ",AA
15585443,A,49247,"PM60D ",AA
15585444,A,49558,"PM60D ",AA
15585445,A,49988,"PM60C ",AA
15585446,A,49989,"PM60C ",AA
15585447,A,49990,"PM60C ",AA
15585448,A,49991,"PM60C ",AA
15585449,A,49992,"PM60C ",AA
15585450,A,49993,"PM60C ",AA
15585451,A,49998,"PM60C ",AA
15585452,A,49999,"PM60C ",AA
15585453,A,50382,"PM60D ",AA
15585454,A,50387,"PM60C ",AA
15585455,A,50389,"PM60C ",AA
15585456,A,50409,"PM60C ",AA
15585457,A,50410,"PM60D ",AA
15585458,A,50411,"PM60C ",AA
15585459,A,50904,"PM60C ",AA
15585460,A,50915,"PM60D ",AA
15585461,A,50917,"PM60C ",AA
15585462,A,50918,"PM60C ",AA
15585463,A,50922,"PM60C ",AA
15585464,A,50931,"PM60C ",AA
15585465,A,50934,"PM60C ",AA
15585466,A,51414,"PM60D ",AA
15585467,A,51417,"PM60C ",AA
15585468,A,51418,"PM60C ",AA
15585469,A,51419,"PM60C ",AA
15585470,A,51420,"PM60C ",AA
15585471,A,51421,"PM60C ",AA
15585472,A,51422,"PM60C ",AA
15585473,A,51438,"PM60C ",AA
15585474,A,51439,"PM60C ",AA
15585475,A,51440,"PM60C ",AA
15585476,A,51441,"PM60C ",AA
15585477,A,51442,"PM60C ",AA
15585478,A,51443,"PM60C ",AA
15585479,A,51446,"PM60C ",AA
15585480,A,51447,"PM60C ",AA
15585481,A,51448,"PM60C ",AA
15585482,A,51449,"PM60C ",AA
15585483,A,45246,"48PMI ",AA
15585484,A,77372,"PM60G ",AA
15585485,A,77678,"PM60E ",AA
15585486,A,77680,"PM60E ",AA
15585487,A,77685,"PM60E ",AA
15585488,A,77686,"PM60E ",AA
15585489,A,77687,"PM60E ",AA
15585490,A,77690,"PM60F ",AA
15585491,A,77691,"PM60E ",AA
15585492,A,77693,"PM60E ",AA
15585493,A,77697,"PM60E ",AA
15585494,A,77698,"PM60E ",AA
15585495,A,77699,"PM60E ",AA
15585496,A,77700,"PM60F ",AA
15585497,A,77702,"PM60E ",AA
15585498,A,77703,"PM60E ",AA
15585499,A,77704,"PM60E ",AA
15585500,A,77707,"PM60E ",AA
15585501,A,77708,"PM60E ",AA
15585502,A,77709,"PM60E ",AA
15585503,A,77710,"PM60F ",AA
15585504,A,77977,"PM60C ",AA
15585505,A,77978,"PM60C ",AA
15585506,A,77979,"PM60C ",AA
15585507,A,77980,"PM60C ",AA
15585508,A,77981,"PM60C ",AA
15585509,A,45723,"48PMN ",AA
15585510,A,78214,"PM60C ",AA
15585511,A,78216,"PM60D ",AA
15585512,A,78218,"PM60C ",AA
15585513,A,78219,"PM60C ",AA
15585514,A,78220,"PM60C ",AA
15585515,A,78221,"PM60C ",AA
15585516,A,78222,"PM60C ",AA
15585517,A,78223,"PM60C ",AA
15585518,A,78490,"PM60C ",AA
15585519,A,78494,"PM60C ",AA
15585520,A,78498,"PM60C ",AA
15585521,A,78503,"PM60D ",AA
15585522,A,78504,"PM60C ",AA
15585523,A,78506,"PM60D ",AA
15585524,A,83374,"PM60C ",AA
15585525,A,83376,"PM60C ",AA
15585526,A,83377,"PM60C ",AA
15585527,A,51743,"48PMA ",AA
15585528,A,83383,"PM60C ",AA
15585529,A,83384,"PM60C ",AA
15585530,A,83386,"PM60C ",AA
15585531,A,83388,"PM60C ",AA
15585532,A,83447,"PM60C ",AA
15585533,A,83451,"PM60C ",AA
15585534,A,83454,"PM60C ",AA
15585535,A,83458,"PM60C ",AA
15585536,A,83459,"PM60C ",AA
15585537,A,83534,"PM60D ",AA
15585538,A,83536,"PM60E ",AA
15585539,A,83537,"PM60E ",AA
15585540,A,83538,"PM60E ",AA
15585541,A,83539,"PM60C ",AA
15585542,A,83540,"PM60C ",AA
15585543,A,83543,"PM60C ",AA
15585544,A,83552,"PM60D ",AA
15585545,A,83743,"PM60C ",AA
15585546,A,83747,"PM60D ",AA
15585547,A,83750,"PM60C ",AA
15585548,A,83753,"PM60D ",AA
15585549,A,83767,"PM60C ",AA
15585550,A,83856,"PM60C ",AA
15585551,A,83857,"PM60C ",AA
15585552,A,83862,"PM60C ",AA
15585553,A,83863,"PM60C ",AA
15585554,A,83866,"PM60C ",AA
15585555,A,83872,"PM60C ",AA
15585556,A,83876,"PM60C ",AA
15585557,A,49253,"PM60C ",AA
15585558,A,49261,"PM60C ",AA
15585559,A,49263,"PM60C ",AA
15585560,A,49264,"PM60C ",AA
15585561,A,49265,"PM60C ",AA
15585562,A,49266,"PM60C ",AA
15585563,A,49574,"PM60C ",AA
15585564,A,27320,"48PMA ",AA
15585565,A,49580,"PM60C ",AA
15585566,A,49583,"PM60D ",AA
15585567,A,49586,"PM60C ",AA
15585568,A,49587,"PM60C ",AA
15585569,A,49588,"PM60C ",AA
15585570,A,50002,"PM60C ",AA
15585571,A,50005,"PM60C ",AA
15585572,A,50010,"PM60C ",AA
15585573,A,50011,"PM60C ",AA
15585574,A,50017,"PM60D ",AA
15585575,A,50030,"PM60C ",AA
15585576,A,50414,"PM60C ",AA
15585577,A,50432,"PM60D ",AA
15585578,A,50433,"PM60D ",AA
15585579,A,50435,"PM60C ",AA
15585580,A,50439,"PM60C ",AA
15585581,A,50440,"PM60C ",AA
15585582,A,50443,"PM60C ",AA
15585583,A,50445,"PM60C ",AA
15585584,A,50937,"PM60C ",AA
15585585,A,50938,"PM60C ",AA
15585586,A,27930,"48PMA ",AA
15585587,A,50942,"PM60C ",AA
15585588,A,50958,"PM60C ",AA
15585589,A,50967,"PM60D ",AA
15585590,A,50971,"PM60D ",AA
15585591,A,50972,"PM60C ",AA
15585592,A,50973,"PM60C ",AA
15585593,A,50975,"PM60C ",AA
15585594,A,50976,"PM60C ",AA
15585595,A,51464,"PM60C ",AA
15585596,A,51465,"PM60C ",AA
15585597,A,51466,"PM60C ",AA
15585598,A,51487,"PM60C ",AA
15585599,A,51488,"PM60C ",AA
15585600,A,77379,"PM60C ",AA
15585601,A,77400,"PM60C ",AA
15585602,A,77402,"PM60C ",AA
15585603,A,77404,"PM60D ",AA
15585604,A,77406,"PM60C ",AA
15585605,A,77409,"PM60C ",AA
15585606,A,77411,"PM60C ",AA
15585607,A,77414,"PM60D ",AA
15585608,A,77711,"PM60E ",AA
15585609,A,77712,"PM60E ",AA
15585610,A,77713,"PM60E ",AA
15585611,A,77714,"PM60E ",AA
15585612,A,77715,"PM60E ",AA
15585613,A,77716,"PM60E ",AA
15585614,A,77717,"PM60E ",AA
15585615,A,77718,"PM60F ",AA
15585616,A,77719,"PM60F ",AA
15585617,A,77720,"PM60E ",AA
15585618,A,77721,"PM60G ",AA
15585619,A,77722,"PM60E ",AA
15585620,A,77723,"PM60F ",AA
15585621,A,77724,"PM60E ",AA
15585622,A,77725,"PM60E ",AA
15585623,A,77726,"PM60F ",AA
15585624,A,77727,"PM60E ",AA
15585625,A,77730,"PM60E ",AA
15585626,A,77731,"PM60G ",AA
15585627,A,77732,"PM60E ",AA
15585628,A,77990,"PM60D ",AA
15585629,A,77991,"PM60D ",AA
15585630,A,77993,"PM60C ",AA
15585631,A,77994,"PM60C ",AA
15585632,A,77995,"PM60D ",AA
15585633,A,46046,"48PMN ",AA
15585634,A,78513,"PM60E ",AA
15585635,A,46292,"48PMA ",AA
15585636,A,78523,"PM60C ",AA
