_CustomObjectKey,Plano,Sorteio,Dia da semana,Semanalmente,Dispara dias antes,Ocorre_Apenas_Na_Primeira_Semana,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Premio_Email,Descricao
278,H48PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
279,H48PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
280,H48PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
281,A60PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
282,A60PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
283,A60PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
284,B60PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
285,B60PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
286,B60PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
287,C60PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
288,C60PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
289,C60PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
290,D60PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
291,D60PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
292,D60PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
293,E60PM,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
294,E60PM,Sorteio 2,Wednesday,False,8,True,True,True,True,True,True,True,True,True,True,True,True,True,100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
295,E60PM,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
296,A36PP,Sorteio 1,Saturday,True,5,False,True,True,True,True,True,True,True,True,True,True,True,True,"71,43 do valor do seu título PU","Sorteios semanais, realizados em todos os sábados de cada mês"
297,A36PP,Sorteio 2,Saturday,False,4,True,False,False,False,False,True,False,False,False,False,False,True,False,"357,15 do valor do seu título PU","Sorteio semestral, realizado no primeiro sábado dos meses de Maio e Novembro"
298,B36PP,Sorteio 1,Saturday,True,5,False,True,True,True,True,True,True,True,True,True,True,True,True,"71,43 do valor do seu título PU","Sorteios semanais, realizados em todos os sábados de cada mês"
299,B36PP,Sorteio 2,Saturday,False,4,True,False,False,False,False,True,False,False,False,False,False,True,False,"357,15 do valor do seu título PU","Sorteio semestral, realizado no primeiro sábado dos meses de Maio e Novembro"
300,C36PP,Sorteio 1,Saturday,True,5,False,True,True,True,True,True,True,True,True,True,True,True,True,"71,43 do valor do seu título PU","Sorteios semanais, realizados em todos os sábados de cada mês"
301,C36PP,Sorteio 2,Saturday,False,4,True,False,False,False,False,True,False,False,False,False,False,True,False,"357,15 do valor do seu título PU","Sorteio semestral, realizado no primeiro sábado dos meses de Maio e Novembro"
