_CustomObjectKey,Plano,Sorteio,Dia da semana,Semanalmente,Dispara dias antes,Ocorre_Apenas_Na_Primeira_Semana,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Premio_Email,Descricao
160,C48PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
161,C48PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
162,C48PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
163,D48PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
164,D48PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
165,D48PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
166,E48PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
167,E48PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
168,E48PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
169,F48PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
170,F48PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
171,F48PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
172,G48PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
173,G48PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
174,G48PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
175,H48PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
176,H48PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
177,H48PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
178,A60PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
179,A60PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
180,A60PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
181,B60PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
182,B60PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
183,B60PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
184,C60PM,Sorteio 1,Wednesday,False,-7,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 10 vezes o valor da parcela,"sorteio mensal de 10 (dez) vezes o valor da última contribuição mensal, realizado na primeira quarta-feira de cada mês civil"
185,C60PM,Sorteio 2,Wednesday,False,-8,True,True,True,True,True,True,True,True,True,True,True,True,True,Prêmio de 100 vezes o valor da parcela,sorteio mensal realizado na primeira quarta-feira de cada mês civil
186,C60PM,Sorteio 3,Wednesday,False,-5,True,False,False,False,False,False,False,False,False,False,False,False,True,Prêmio de 10.000 vezes o valor da parcela,"Sorteio anual, realizado na primeira quarta-feira do mês de Dezembro"
