_CustomObjectKey,ID_TITULO,ID_SERIE,ID_PLANO,DATA_SORTEIO
414189,363045,AA,"PM486 ",2021-02-06
414190,130544,AA,"PM363 ",2021-02-06
414191,524655,AA,"PM489 ",2021-02-06
414192,547773,AA,"PM48H ",2021-02-06
414193,542724,AA,"PM48O ",2021-02-06
414194,418758,AA,"PM483 ",2021-06-19
414195,414759,AA,"PM488 ",2021-06-19
414196,414883,AA,"PM486 ",2021-06-19
414197,561449,AA,"PM483 ",2021-02-06
414198,361274,AA,"PM488 ",2021-02-06
414199,535478,AA,"PM483 ",2021-02-06
414200,363539,AA,"PM483 ",2021-02-06
414201,523859,AA,"PM488 ",2021-02-06
414202,476034,AA,"PM48O ",2021-02-06
414203,14015,AB,"PM604 ",2021-02-06
414204,136311,AA,"PM363 ",2021-02-06
414205,512298,AA,"PM483 ",2021-02-06
414206,540645,AA,"PM488 ",2021-02-06
414207,365192,AA,"PM483 ",2021-02-06
414208,29016,AB,"PM604 ",2018-08-04
414209,661761,AA,"PM604 ",2017-08-05
414210,682182,AA,"PM604 ",2017-08-05
414211,734019,AA,"PM604 ",2017-08-05
414212,795728,AA,"PM604 ",2017-08-05
414213,46862,AA,"PM364 ",2017-12-16
414214,119544,AA,"PM484 ",2017-12-16
414215,586728,AB,"PU36C ",2017-12-16
414216,44017,AA,"PM481 ",2017-07-22
414217,264483,AA,"PM601 ",2017-07-22
414218,396520,AA,"PM601 ",2017-07-22
414219,59624,AB,"PM604 ",2017-10-21
414220,318748,AB,"PU368 ",2017-10-21
414221,2503072,AA,"PU12C ",2017-08-18
414222,475208,AB,"PU36C ",2017-10-07
414223,488844,AA,"PM604 ",2017-10-07
414224,58034,EE,"PM48E ",2017-07-19
414225,396610,AA,"PM601 ",2018-06-23
414226,71851,AA,"PM363 ",2017-10-07
414227,273351,AA,"PM601 ",2017-10-07
414228,385414,AA,"PM604 ",2018-08-25
414229,728959,AA,"PM604 ",2018-08-25
414230,2459732,AA,"PU12C ",2017-07-28
414231,240348,AA,"PM48J ",2017-08-26
414232,237964,AA,"PM48D ",2017-08-26
414233,736692,AA,"PU36C ",2018-08-04
414234,18152,AA,"PM24D ",2018-08-04
414235,9988,AA,"PM364 ",2017-08-05
414236,3946,AA,"PM24R ",2017-08-05
414237,25946,AA,"PM24R ",2017-08-05
414238,653985,AA,"PM604 ",2017-12-16
414239,654572,AA,"PM60V ",2017-07-22
414240,724376,AA,"PM60V ",2017-07-22
414241,494214,AB,"PU36C ",2017-10-21
414242,74893,AA,"PM36F ",2017-10-21
414243,36117,AA,"PM366 ",2017-10-07
414244,997210,AA,"PU36H ",2017-10-07
414245,33946,AA,"PM24D ",2017-08-05
414246,105184,AA,"PM484 ",2017-08-05
414247,393647,AA,"PM601 ",2017-07-08
414248,132008,AA,"PM488 ",2017-10-07
414249,3201128,AA,"PU12C ",2018-10-18
414250,2819891,AA,"PU12C ",2018-04-02
414251,3009692,AA,"PU12C ",2018-07-11
414252,3011731,AA,"PU12C ",2018-07-11
414253,61095,AA,"PM605 ",2018-11-03
414254,567681,AA,"PM604 ",2018-11-03
414255,316302,AA,"PM604 ",2018-08-04
414256,38916,AA,"PU36C ",2017-08-05
414257,390173,AA,"PM48O ",2018-03-10
414258,58500,AB,"PM60V ",2018-03-10
414259,83471,AA,"PM601 ",2018-04-28
414260,108410,AA,"PM604 ",2017-07-22
414261,178533,AA,"PM604 ",2017-07-22
414262,242143,AA,"PM604 ",2017-07-22
414263,13973,AB,"PM60V ",2017-10-07
414264,612229,AA,"PM604 ",2017-08-05
414265,97787,AA,"PM483 ",2017-08-05
414266,109606,AA,"PM487 ",2017-08-05
414267,780748,AA,"PM60V ",2017-07-08
414268,208553,AA,"PM604 ",2017-07-08
414269,273601,AA,"PM488 ",2017-10-07
414270,35696,AA,"PM363 ",2017-10-07
414271,448163,AA,"PM601 ",2017-09-02
414272,336148,AA,"PM603 ",2017-09-02
414273,3185006,AA,"PU12C ",2018-10-17
414274,3187231,AA,"PU12C ",2018-10-17
414275,143957,AA,"PM363 ",2018-11-03
414276,143210,AA,"PM60V ",2018-11-03
414277,586561,AA,"PM604 ",2018-08-04
414278,495708,AA,"PM489 ",2018-08-04
414279,126916,AA,"PU36C ",2017-08-05
414280,996916,AA,"PU36C ",2017-08-05
414281,517708,AA,"PM601 ",2018-04-28
414282,500539,AA,"PM60V ",2018-04-28
414283,275545,AA,"PM604 ",2017-07-22
414284,90306,AA,"PM48G ",2017-08-05
414285,8350,AA,"PM607 ",2017-08-05
