_CustomObjectKey,CODIGO_PEDIDO
288,0000099254 - Venda Ativa
289,0000099259 - Venda Ativa
290,0000099252 - Venda Ativa
291,0000099269 - Venda Ativa
292,0000099260 - Venda Ativa
293,0000099253 - Venda Ativa
294,0000099270 - Venda Ativa
295,0000099250 - Venda Ativa
296,0000099258 - Venda Ativa
297,0000099251 - Venda Ativa
298,0000099257 - Venda Ativa
299,0000099613 - Venda Ativa
300,0000099608 - Venda Ativa
301,0000099605 - Venda Ativa
302,0000099599 - Venda Ativa
303,0000099471 - Venda Ativa
304,0000099476 - Venda Ativa
305,0000099459 - Venda Ativa
306,0000099811 - Venda Ativa
307,0000099800 - Venda Ativa
308,0000099801 - Venda Ativa
309,0000099799 - Venda Ativa
310,0000099798 - Venda Ativa
311,0000099803 - Venda Ativa
312,0000099797 - Venda Ativa
313,0000099840 - Venda Ativa
314,0000099663 - Venda Ativa
315,0000099667 - Venda Ativa
316,0000099657 - Venda Ativa
317,0000099642 - Venda Ativa
318,0000099643 - Venda Ativa
319,0000099633 - Venda Ativa
320,0000099635 - Venda Ativa
321,0000099618 - Venda Ativa
322,0000099629 - Venda Ativa
323,0000099537 - Venda Ativa
324,0000099538 - Venda Ativa
325,0000099529 - Venda Ativa
326,0000099527 - Venda Ativa
327,0000099524 - Venda Ativa
328,0000099696 - Venda Ativa
329,0000099579 - Venda Ativa
330,0000099573 - Venda Ativa
331,0000099576 - Venda Ativa
332,0000099570 - Venda Ativa
333,0000099569 - Venda Ativa
334,0000099571 - Venda Ativa
335,0000099564 - Venda Ativa
336,0000099560 - Venda Ativa
337,0000099558 - Venda Ativa
338,0000099563 - Venda Ativa
339,0000099568 - Venda Ativa
340,0000099550 - Venda Ativa
341,0000099556 - Venda Ativa
342,0000099903 - Venda Ativa
343,0000099909 - Venda Ativa
344,0000099902 - Venda Ativa
345,0000099910 - Venda Ativa
346,0000099900 - Venda Ativa
347,0000099901 - Venda Ativa
348,0000099899 - Venda Ativa
349,0000100076 - Venda Ativa
350,0000100075 - Venda Ativa
351,0000100077 - Venda Ativa
352,0000099893 - Venda Ativa
353,0000099882 - Venda Ativa
354,0000099884 - Venda Ativa
355,0000099883 - Venda Ativa
356,0000099894 - Venda Ativa
357,0000099880 - Venda Ativa
358,0000099892 - Venda Ativa
359,0000099881 - Venda Ativa
360,0000099878 - Venda Ativa
361,0000099890 - Venda Ativa
362,0000099879 - Venda Ativa
363,0000099891 - Venda Ativa
364,0000099877 - Venda Ativa
365,0000099898 - Venda Ativa
366,0000099896 - Venda Ativa
367,0000099897 - Venda Ativa
368,0000099885 - Venda Ativa
369,0000099865 - Venda Ativa
370,0000099842 - Venda Ativa
371,0000099857 - Venda Ativa
372,0000099870 - Venda Ativa
373,0000099866 - Venda Ativa
374,0000099843 - Venda Ativa
375,0000099858 - Venda Ativa
376,0000099871 - Venda Ativa
377,0000099854 - Venda Ativa
378,0000099839 - Venda Ativa
379,0000099855 - Venda Ativa
380,0000099864 - Venda Ativa
381,0000099841 - Venda Ativa
382,0000099856 - Venda Ativa
383,0000099851 - Venda Ativa
384,0000099852 - Venda Ativa
385,0000099836 - Venda Ativa
386,0000099853 - Venda Ativa
387,0000099838 - Venda Ativa
388,0000099837 - Venda Ativa
389,0000099850 - Venda Ativa
390,0000099887 - Venda Ativa
391,0000099862 - Venda Ativa
392,0000099888 - Venda Ativa
393,0000099876 - Venda Ativa
394,0000099875 - Venda Ativa
395,0000099863 - Venda Ativa
396,0000099889 - Venda Ativa
397,0000099867 - Venda Ativa
398,0000099873 - Venda Ativa
399,0000099872 - Venda Ativa
400,0000099886 - Venda Ativa
401,0000099861 - Venda Ativa
402,0000099868 - Venda Ativa
403,0000099859 - Venda Ativa
404,0000099869 - Venda Ativa
405,0000099860 - Venda Ativa
406,0000099844 - Venda Ativa
407,0000099895 - Venda Ativa
408,0000099826 - Venda Ativa
409,0000099827 - Venda Ativa
410,0000099834 - Venda Ativa
411,0000099833 - Venda Ativa
412,0000099846 - Venda Ativa
413,0000099845 - Venda Ativa
414,0000099848 - Venda Ativa
415,0000099835 - Venda Ativa
416,0000099847 - Venda Ativa
417,0000099849 - Venda Ativa
418,0000099831 - Venda Ativa
419,0000099832 - Venda Ativa
420,0000099828 - Venda Ativa
421,0000099830 - Venda Ativa
422,0000099824 - Venda Ativa
423,0000099825 - Venda Ativa
424,0000099687 - Venda Ativa
425,0000099686 - Venda Ativa
426,0000099806 - Venda Ativa
427,0000099815 - Venda Ativa
428,0000099829 - Venda Ativa
429,0000099816 - Venda Ativa
430,0000099807 - Venda Ativa
431,0000099813 - Venda Ativa
432,0000099805 - Venda Ativa
433,0000099814 - Venda Ativa
434,0000099804 - Venda Ativa
435,0000099796 - Venda Ativa
436,0000099810 - Venda Ativa
437,0000099675 - Venda Ativa
438,0000099802 - Venda Ativa
439,0000099812 - Venda Ativa
440,0000099822 - Venda Ativa
441,0000099823 - Venda Ativa
442,0000099819 - Venda Ativa
443,0000099820 - Venda Ativa
444,0000099821 - Venda Ativa
445,0000099809 - Venda Ativa
446,0000099817 - Venda Ativa
447,0000099808 - Venda Ativa
448,0000099818 - Venda Ativa
449,0000099950 - Venda Ativa
450,0000099956 - Venda Ativa
451,0000099949 - Venda Ativa
452,0000099947 - Venda Ativa
453,0000099955 - Venda Ativa
454,0000099948 - Venda Ativa
455,0000099946 - Venda Ativa
456,0000099961 - Venda Ativa
457,0000099954 - Venda Ativa
458,0000099952 - Venda Ativa
459,0000099960 - Venda Ativa
460,0000099953 - Venda Ativa
461,0000099957 - Venda Ativa
462,0000099958 - Venda Ativa
463,0000099951 - Venda Ativa
464,0000099959 - Venda Ativa
465,0000099939 - Venda Ativa
466,0000099932 - Venda Ativa
467,0000099940 - Venda Ativa
468,0000099933 - Venda Ativa
469,0000099945 - Venda Ativa
470,0000099930 - Venda Ativa
471,0000099938 - Venda Ativa
472,0000099936 - Venda Ativa
473,0000099929 - Venda Ativa
474,0000099937 - Venda Ativa
475,0000099943 - Venda Ativa
476,0000099944 - Venda Ativa
477,0000099941 - Venda Ativa
478,0000099942 - Venda Ativa
479,0000099908 - Venda Ativa
480,0000099923 - Venda Ativa
481,0000099915 - Venda Ativa
482,0000099922 - Venda Ativa
483,0000099907 - Venda Ativa
484,0000099916 - Venda Ativa
485,0000099905 - Venda Ativa
486,0000099914 - Venda Ativa
487,0000099913 - Venda Ativa
488,0000099906 - Venda Ativa
489,0000099911 - Venda Ativa
490,0000099904 - Venda Ativa
491,0000099912 - Venda Ativa
492,0000099928 - Venda Ativa
493,0000099920 - Venda Ativa
494,0000099934 - Venda Ativa
495,0000099927 - Venda Ativa
496,0000099921 - Venda Ativa
497,0000099935 - Venda Ativa
498,0000099925 - Venda Ativa
499,0000099919 - Venda Ativa
500,0000099926 - Venda Ativa
