_CustomObjectKey,ID_TITULO,ID_SERIE,ID_PLANO,ID_TITULO_SALESFORCE,DATA_SORTEIO
23101,25840,AA,"A48PM ",a0o6g000006KYvnAAG,2021-08-04
23102,85675,AA,"PME60 ",a0o6g000006JnJrAAK,2021-12-01
23103,29623,AA,"PMG48 ",a0o6g000006JujNAAS,2021-07-07
23104,31629,AA,"PM607 ",a0o6g000005yHhfAAE,2021-08-07
23105,116708,AA,"PMI48 ",a0o6g000006M8IsAAK,2021-12-01
23106,7649,AA,"PME60 ",a0o6g000006Mxo8AAC,2021-07-07
23107,46204,AA,"PM606 ",a0o6g000006N08jAAC,2021-08-07
23108,90656,AA,"PME60 ",a0o6g000005tKSjAAM,2021-12-01
23109,69054,AA,"48PMA ",a0o6g000005y3LoAAI,2021-07-07
23110,51616,AA,"A60PM ",a0o6g0000060tRTAAY,2021-11-03
23111,424812,AA,"PM48O ",a0o6g0000061UPlAAM,2021-08-07
23112,518645,AA,"PM48G ",a0o6g0000064e9PAAQ,2021-12-04
23113,75014,AA,"PM60E ",a0o6g000005w08sAAA,2021-07-07
23114,33152,AA,"PMK48 ",a0o6g000005zdvLAAQ,2021-12-01
23115,11883,AA,"PME60 ",a0o6g0000064lV4AAI,2021-07-07
23116,405105,AA,"PM483 ",a0o6g0000065GdHAAU,2021-08-07
23117,115649,AA,"PMA48 ",a0o6g0000069ZiQAAU,2021-12-01
23118,469207,AA,"PM488 ",a0o6g0000066g2WAAQ,2021-08-21
23119,143799,AA,"PMA48 ",a0o6g000005cMZSAA2,2021-08-04
23120,397517,AA,"PM483 ",a0o6g0000067dXQAAY,2021-08-07
23121,32192,AA,"PMF60 ",a0o6g000005mkBFAAY,2021-12-01
23122,229147,AA,"B60PM ",a0o6g000006AOY0AAO,2021-09-01
23123,51934,AA,"D60PM ",a0o6g000005eSvFAAU,2021-11-03
23124,77345,AA,"PMN48 ",a0o6g0000062m7jAAA,2021-12-01
23125,70295,AA,"D48PM ",a0o6g000006AgrfAAC,2021-11-03
23126,469274,AA,"PM48D ",a0o6g000006AliAAAS,2021-07-03
23127,11811,AA,"A60PM ",a0o6g0000068uwVAAQ,2021-08-04
23128,87063,AA,"PME60 ",a0o6g000006D7xeAAC,2021-12-01
23129,198976,AA,"F48PM ",a0o6g000005vLAuAAM,2021-10-06
23130,141752,AA,"PMG48 ",a0o6g00000603gFAAQ,2021-08-04
23131,86058,AA,"A60PM ",a0o6g000005tX9eAAE,2022-01-05
23132,129520,AA,"PMA48 ",a0o6g000005f266AAA,2021-12-01
23133,47374,AA,"PM607 ",a0o6g000006FslgAAC,2021-07-03
23134,4366,AA,"PMC36 ",a0o6g000005hjwjAAA,2021-12-01
23135,30109,AA,"PMA48 ",a0o6g000006GdVZAA0,2021-12-01
23136,52806,AA,"A48PM ",a0o6g000005nerBAAQ,2021-11-03
23137,391664,AA,"PM48G ",a0o6g000005zzjvAAA,2021-08-07
23138,489830,AA,"PM489 ",a0o6g000006H4pzAAC,2021-07-03
23139,323244,AA,"A60PM ",a0o6g000005goRdAAI,2021-12-01
23140,337737,AA,"PM483 ",a0o6g000006JWatAAG,2022-01-01
23141,34802,AA,"PMC60 ",a0o6g0000060NjjAAE,2021-12-01
23142,99605,AA,"PME60 ",a0o6g000006DRLAAA4,2021-08-04
23143,537873,AA,"PM483 ",a0o6g000005lMylAAE,2021-12-04
23144,81500,AA,"A48PM ",a0o6g0000065iwdAAA,2021-07-07
23145,18357,AA,"A60PM ",a0o6g000005sSKhAAM,2021-08-04
23146,228877,AA,"A60PM ",a0o6g000005qiz3AAA,2021-10-06
23147,514240,AA,"PM48O ",a0o6g000005fXrNAAU,2021-12-04
23148,6636,AB,"A48PM ",a0o6g000005fXXMAA2,2021-10-06
23149,221925,AA,"C60PM ",a0o6g0000066343AAA,2021-09-01
23150,5124,AA,"C60PM ",a0o6g0000060fbaAAA,2021-08-04
23151,435419,AA,"PM488 ",a0o6g000005xJ6QAAU,2022-01-01
23152,54472,AA,"PMA48 ",a0o6g000005mq8EAAQ,2021-12-01
23153,63830,AA,"PMC60 ",a0o6g000005zcnnAAA,2021-12-01
23154,76347,AA,"D60PM ",a0o6g000005zPUYAA2,2022-01-05
23155,21296,AA,"PM607 ",a0o6g0000063KJ9AAM,2021-08-07
