_CustomObjectKey,id_titulo,id_titular,id_subscritor,id_cliente,num_titulo,serie,plano,origem,id_titulo_darwin
3472419,a0o6g00000H9MLVAA3,a0i6g00000AhfWKAAZ,a0i6g00000AhfWKAAZ,0016g00002RK0XxAAL,350079,AA,B48PU,CAP,350079
3472420,a0o6g00000H9MLaAAN,a0i6g00000AhfWZAAZ,a0i6g00000AhfWZAAZ,0016g00002RJp7KAAT,135281,AA,A36PM,CAP,135281
3472421,a0o6g00000H9MLcAAN,a0i6g00000AhfWdAAJ,a0i6g00000AhfWdAAJ,0016g00002RK23ZAAT,10125,AD,A60PM,CAP,10125
3472422,a0o6g00000H9MLdAAN,a0i6g00000AhfWfAAJ,a0i6g00000AhfWfAAJ,0016g00002RJvQFAA1,543327,AA,A48PM,CAP,543327
3472423,a0o6g00000H9MLeAAN,a0i6g00000AhcncAAB,a0i6g00000AhcncAAB,0016g00002RK1WjAAL,346017,AB,A60PM,CAP,346017
3472424,a0o6g00000H9MLlAAN,a0i6g00000AhfWqAAJ,a0i6g00000AhfWqAAJ,0016g00002RJtYuAAL,10131,AD,A60PM,CAP,10131
3472425,a0o6g00000H9MLqAAN,a0i6g00000AhZ9jAAF,a0i6g00000AhZ9jAAF,0016g00002RJm4GAAT,10418,AD,A60PM,CAP,10418
3472426,a0o6g00000H9MLrAAN,a0i6g00000AhfWyAAJ,a0i6g00000AhfWyAAJ,0016g00002RJpwsAAD,87568,AC,A60PM,CAP,87568
3472427,a0o6g00000H9MLwAAN,a0i6g00000AhZBoAAN,a0i6g00000AhZBoAAN,0016g00002RJs9RAAT,110015,AA,PUD36,CAP,110015
3472428,a0o6g00000H9MM4AAN,a0i6g00000AhZCMAA3,a0i6g00000AhZCMAA3,0016g00002RK1rxAAD,88606,AC,A60PM,CAP,88606
3472429,a0o6g00000H9MM8AAN,a0i6g00000AhfXUAAZ,a0i6g00000AhfXUAAZ,0016g00002RJzIjAAL,10138,AD,A60PM,CAP,10138
3472430,a0o6g00000H9MMDAA3,a0i6g00000AhfXeAAJ,a0i6g00000AhfXeAAJ,0016g00002RJv5GAAT,87583,AC,A60PM,CAP,87583
3472431,a0o6g00000H9MMFAA3,a0i6g00000AhcpFAAR,a0i6g00000AhcpFAAR,0016g00002RJrx9AAD,120657,AB,A48PM,CAP,120657
3472432,a0o6g00000H9MMIAA3,a0i6g00000AhZ93AAF,a0i6g00000AhZ93AAF,0016g00002RJyWvAAL,543730,AA,A48PM,CAP,543730
3472433,a0o6g00000H9MMKAA3,a0i6g00000AhfV7AAJ,a0i6g00000AhfV7AAJ,0016g00002RJoFIAA1,88611,AC,A60PM,CAP,88611
3472434,a0o6g00000H9MMMAA3,a0i6g00000AhfVAAAZ,a0i6g00000AhfVAAAZ,0016g00002RJlylAAD,350101,AA,B48PU,CAP,350101
3472435,a0o6g00000H9MMNAA3,a0i6g00000AhfVBAAZ,a0i6g00000AhfVBAAZ,0016g00002RJlrjAAD,87591,AC,A60PM,CAP,87591
3472436,a0o6g00000H9MMTAA3,a0i6g00000AhfVOAAZ,a0i6g00000AhfVOAAZ,0016g00002RJllcAAD,88612,AC,A60PM,CAP,88612
3472437,a0o6g00000H9MMVAA3,a0i6g00000AhfVQAAZ,a0i6g00000AhfVQAAZ,0016g00002RJr9lAAD,543732,AA,A48PM,CAP,543732
3472438,a0o6g00000H9MMXAA3,a0i6g00000AhfVSAAZ,a0i6g00000AhfVSAAZ,0016g00002RJtmdAAD,10426,AD,A60PM,CAP,10426
3472439,a0o6g00000H9MMYAA3,a0i6g00000AhfVUAAZ,a0i6g00000AhfVUAAZ,0016g00002RJtaAAAT,87604,AC,A60PM,CAP,87604
3472440,a0o6g00000H9MMZAA3,a0i6g00000AhfVWAAZ,a0i6g00000AhfVWAAZ,0016g00002RJytIAAT,88613,AC,A60PM,CAP,88613
3472441,a0o6g00000H9MMbAAN,a0i6g00000AhZC6AAN,a0i6g00000AhZC6AAN,0016g00002RJs5SAAT,87606,AC,A60PM,CAP,87606
3472442,a0o6g00000H9MMcAAN,a0i6g00000AhclDAAR,a0i6g00000AhclDAAR,0016g00002RJv5FAAT,87607,AC,A60PM,CAP,87607
3472443,a0o6g00000H9MMjAAN,a0i6g00000AhfbaAAB,a0i6g00000AhfbaAAB,0016g00002RJx6qAAD,120667,AB,A48PM,CAP,120667
3472444,a0o6g00000H9MMkAAN,a0i6g00000AhfbbAAB,a0i6g00000AhfbbAAB,0016g00002RJuCXAA1,88615,AC,A60PM,CAP,88615
3472445,a0o6g00000H9MMpAAN,a0i6g00000AhfbgAAB,a0i6g00000AhfbgAAB,0016g00002RK1eJAAT,87620,AC,A60PM,CAP,87620
3472446,a0o6g00000H9MMqAAN,a0i6g00000AhfbhAAB,a0i6g00000AhfbhAAB,0016g00002RJni2AAD,143718,AA,PUA48,CAP,143718
3472447,a0o6g00000H9MMvAAN,a0i6g00000AhckVAAR,a0i6g00000AhckVAAR,0016g00002RK0PbAAL,10430,AD,A60PM,CAP,10430
3472448,a0o6g00000H9MMwAAN,a0i6g00000AhZBpAAN,a0i6g00000AhZBpAAN,0016g00002RJmKhAAL,10431,AD,A60PM,CAP,10431
3472449,a0o6g00000H9MMzAAN,a0i6g00000AhfYUAAZ,a0i6g00000AhfYUAAZ,0016g00002RJrToAAL,87631,AC,A60PM,CAP,87631
3472450,a0o6g00000H9MN1AAN,a0i6g00000AhfYXAAZ,a0i6g00000AhfYXAAZ,0016g00002RJlZYAA1,10433,AD,A60PM,CAP,10433
3472451,a0o6g00000H9MN6AAN,a0i6g00000AhfYgAAJ,a0i6g00000AhfYgAAJ,0016g00002RJqW5AAL,10141,AD,A60PM,CAP,10141
3472452,a0o6g00000H9MN7AAN,a0i6g00000AhfYiAAJ,a0i6g00000AhfYiAAJ,0016g00002RJmWBAA1,10142,AD,A60PM,CAP,10142
3472453,a0o6g00000H9MN8AAN,a0i6g00000AhcoMAAR,a0i6g00000AhcoMAAR,0016g00002RJwz5AAD,10143,AD,B60PM,CAP,10143
3472454,a0o6g00000H9MNLAA3,a0i6g00000AhZBIAA3,a0i6g00000AhZBIAA3,0016g00002RJwwgAAD,143721,AA,PUB48,CAP,143721
3472455,a0o6g00000H9MNRAA3,a0i6g00000AhfZLAAZ,a0i6g00000AhfZLAAZ,0016g00002RJvPrAAL,135282,AA,B36PM,CAP,135282
3472456,a0o6g00000H9MNYAA3,a0i6g00000AhZ9wAAF,a0i6g00000AhZ9wAAF,0016g00002RJnLqAAL,143724,AA,PUA48,CAP,143724
3472457,a0o6g00000H9MNeAAN,a0i6g00000AhcoQAAR,a0i6g00000AhcoQAAR,0016g00002RK0TIAA1,350114,AA,B48PU,CAP,350114
3472458,a0o6g00000H9MNjAAN,a0i6g00000AhfZwAAJ,a0i6g00000AhfZwAAJ,0016g00002RJpEZAA1,350427,AA,A48PU,CAP,350427
3472459,a0o6g00000H9MNkAAN,a0i6g00000AhfZyAAJ,a0i6g00000AhfZyAAJ,0016g00002RJp78AAD,10167,AD,A60PM,CAP,10167
3472460,a0o6g00000H9MNnAAN,a0i6g00000Ahfa4AAB,a0i6g00000Ahfa4AAB,0016g00002RJyHBAA1,10177,AD,A60PM,CAP,10177
3472461,a0o6g00000H9MNqAAN,a0i6g00000Ahfa9AAB,a0i6g00000Ahfa9AAB,0016g00002RK0MkAAL,10180,AD,A60PM,CAP,10180
3472462,a0o6g00000H9MO3AAN,a0i6g00000AhZ8UAAV,a0i6g00000AhZ8UAAV,0016g00002RJzQVAA1,10192,AD,A60PM,CAP,10192
3472463,a0o6g00000H9MO6AAN,a0i6g00000AhfahAAB,a0i6g00000AhfahAAB,0016g00002RJt0DAAT,10198,AD,A60PM,CAP,10198
3472464,a0o6g00000H9MOCAA3,a0i6g00000AhfaqAAB,a0i6g00000AhfaqAAB,0016g00002RK20WAAT,543363,AA,A48PM,CAP,543363
3472465,a0o6g00000H9MODAA3,a0i6g00000AhfarAAB,a0i6g00000AhfarAAB,0016g00002RK0MyAAL,88123,AC,A60PM,CAP,88123
3472466,a0o6g00000H9MOIAA3,a0i6g00000Ahcl3AAB,a0i6g00000Ahcl3AAB,0016g00002RJm3bAAD,88624,AC,A60PM,CAP,88624
3472467,a0o6g00000H9MOJAA3,a0i6g00000AhfayAAB,a0i6g00000AhfayAAB,0016g00002RJmKdAAL,88125,AC,A60PM,CAP,88125
3472468,a0o6g00000H9MOMAA3,a0i6g00000AhcpeAAB,a0i6g00000AhcpeAAB,0016g00002RJt2GAAT,88126,AC,A60PM,CAP,88126
3472469,a0o6g00000H9MOSAA3,a0i6g00000Ahfb9AAB,a0i6g00000Ahfb9AAB,0016g00002RJt0EAAT,87655,AC,A60PM,CAP,87655
3472470,a0o6g00000H9MOUAA3,a0i6g00000AhclfAAB,a0i6g00000AhclfAAB,0016g00002RJtuJAAT,543368,AA,A48PM,CAP,543368
3472471,a0o6g00000H9MOVAA3,a0i6g00000AhfbHAAR,a0i6g00000AhfbHAAR,0016g00002RJrWuAAL,350431,AA,A48PU,CAP,350431
3472472,a0o6g00000H9MOWAA3,a0i6g00000AhfbHAAR,a0i6g00000AhfbHAAR,0016g00002RJrWuAAL,350433,AA,A48PU,CAP,350433
3472473,a0o6g00000H9MOXAA3,a0i6g00000AhZ6zAAF,a0i6g00000AhZ6zAAF,0016g00002RJtmTAAT,10212,AD,A60PM,CAP,10212
3472474,a0o6g00000H9MOYAA3,a0i6g00000AhfbIAAR,a0i6g00000AhfbIAAR,0016g00002RJz7gAAD,10213,AD,A60PM,CAP,10213
3472475,a0o6g00000H9MOZAA3,a0i6g00000AhZ95AAF,a0i6g00000AhZ95AAF,0016g00002RJq0wAAD,10214,AD,A60PM,CAP,10214
3472476,a0o6g00000H9MOdAAN,a0i6g00000AhfYxAAJ,a0i6g00000AhfYxAAJ,0016g00002RJpeOAAT,135112,AA,A36PM,CAP,135112
3472477,a0o6g00000H9MOfAAN,a0i6g00000AhfZ1AAJ,a0i6g00000AhfZ1AAJ,0016g00002RK0R0AAL,87662,AC,A60PM,CAP,87662
3472478,a0o6g00000H9MOmAAN,a0i6g00000AhfJ2AAJ,a0i6g00000AhfJ2AAJ,0016g00002RJqziAAD,87767,AC,A60PM,CAP,87767
3472479,a0o6g00000H9MOnAAN,a0i6g00000AhfJ3AAJ,a0i6g00000AhfJ3AAJ,0016g00002RJxMeAAL,87771,AC,A60PM,CAP,87771
3472480,a0o6g00000H9MOrAAN,a0i6g00000AhfJ8AAJ,a0i6g00000AhfJ8AAJ,0016g00002RJw9MAAT,10339,AD,A60PM,CAP,10339
3472481,a0o6g00000H9MPAAA3,a0i6g00000AhcmDAAR,a0i6g00000AhcmDAAR,0016g00002RJv4rAAD,87774,AC,A60PM,CAP,87774
3472482,a0o6g00000H9MPDAA3,a0i6g00000AhfFoAAJ,a0i6g00000AhfFoAAJ,0016g00002RJpiBAAT,87775,AC,A60PM,CAP,87775
